bootstrap;pseudo_F;p_value;permutations;ss_among;ss_within;df_among;df_within;n;k;stratified
1;33,89386386882769;0,005;199;18,67738084644685;217,20748566169408;6;2365;2372;7;True
2;31,04473803255845;0,005;199;17,30840325678321;202,56958984061046;6;2180;2187;7;True
3;39,07812725140254;0,005;199;20,865309911712046;226,83479952349873;6;2549;2556;7;True
4;40,025381014285436;0,005;199;21,097796738341486;223,93409099940223;6;2549;2556;7;True
5;37,17143444023604;0,005;199;19,761875656519294;226,0362271860203;6;2551;2558;7;True
6;37,82030319268127;0,005;199;20,74758984747217;232,9650763772351;6;2548;2555;7;True
7;31,954795315800354;0,005;199;17,45993618177198;198,61453466847695;6;2181;2188;7;True
8;38,79740250023362;0,005;199;21,320142086826024;233,4565317828184;6;2549;2556;7;True
9;35,23815752230173;0,005;199;19,244821309394382;215,35957240485575;6;2366;2373;7;True
10;29,743037027332747;0,005;199;16,39477919144872;200,2744295217393;6;2180;2187;7;True
11;34,2846138001703;0,005;199;18,60669362432367;213,9192363762648;6;2365;2372;7;True
12;30,391107653412337;0,005;199;16,667476098722545;199,35527296272724;6;2181;2188;7;True
13;37,92801037508591;0,005;199;20,236342162438177;226,7570941365717;6;2550;2557;7;True
14;31,78594724609289;0,005;199;17,604378778684122;218,21357674511745;6;2364;2371;7;True
15;35,108483995350724;0,005;199;19,455359707979255;218,42738313368034;6;2365;2372;7;True
16;32,31482732680077;0,005;199;17,463118773511837;196,61762848081878;6;2183;2190;7;True
17;39,255578380781024;0,005;199;20,850328117749285;225,7358015232265;6;2550;2557;7;True
18;37,40437823481959;0,005;199;19,860688215286444;225,75171690298825;6;2551;2558;7;True
19;36,55073041168705;0,005;199;19,902900953035072;231,33370139649682;6;2549;2556;7;True
20;38,5520073959429;0,005;199;20,849780558001527;229,75928808979404;6;2549;2556;7;True
21;36,060613743578706;0,005;199;19,481682181510706;213,03787917208427;6;2366;2373;7;True
22;34,13951274256265;0,005;199;18,360489954094504;212,07546984713613;6;2366;2373;7;True
23;35,629364913506315;0,005;199;19,50882069552415;215,91679540019294;6;2366;2373;7;True
24;34,50460500286621;0,005;199;19,132803274019068;218,47299771544476;6;2364;2371;7;True
25;35,972151878378845;0,005;199;19,960295601807218;218,71594475766045;6;2365;2372;7;True
26;35,72864949544153;0,005;199;19,62037069165558;216,36491056004206;6;2364;2371;7;True
27;35,35189598725312;0,005;199;18,814617787569404;209,6905753223319;6;2364;2371;7;True
28;37,514923005387026;0,005;199;20,052067149373272;227,25544574490988;6;2551;2558;7;True
29;34,82829988878208;0,005;199;18,946977043349847;214,52165732903825;6;2366;2373;7;True
30;34,14842824195504;0,005;199;19,103367114567533;220,41209597729627;6;2364;2371;7;True
31;36,16886144485891;0,005;199;19,604545009208408;230,36201019531637;6;2550;2557;7;True
32;28,93491808517571;0,005;199;16,023262479548407;184,31280317587402;6;1997;2004;7;True
33;28,529335274437983;0,005;199;15,74691393794268;183,70907717483914;6;1997;2004;7;True
34;37,319952091248226;0,005;199;19,804128394740843;225,52961877297378;6;2550;2557;7;True
35;37,567433960452334;0,005;199;20,175547164450762;228,2457607809509;6;2550;2557;7;True
